,Ano,Mes,DeptoOrigen,CantidadUnidades,ValorMilespesos,Toneladas,date
385,2015,Feb,Bogota,5053893,50080512,5054,Feb 2015
386,2015,Feb,Caldas,6763009,91766479,6763,Feb 2015
387,2015,Feb,Quindio,7616003,75783407,7616,Feb 2015
388,2015,Feb,Risaralda,8647099,80983896,8647,Feb 2015
389,2015,Feb,Tolima,3193409,32275599,3193,Feb 2015
390,2015,Jul,Antioquia,12513761,129377681,12514,Jul 2015
391,2015,Jul,Bogota,4045079,39835569,4045,Jul 2015
392,2015,Jul,Caldas,10427929,115613034,10428,Jul 2015
393,2015,Jul,Quindio,6869006,64500802,6869,Jul 2015
394,2015,Jul,Risaralda,12702344,116147832,12702,Jul 2015
395,2015,Jul,Tolima,3051903,34924771,3052,Jul 2015
396,2015,Jun,Antioquia,7155012,76126203,7155,Jun 2015
397,2015,Jun,Bogota,1624417,18250285,1624,Jun 2015
398,2015,Jun,Caldas,5672367,68747417,5672,Jun 2015
399,2015,Jun,Quindio,5443435,47421842,5443,Jun 2015
400,2015,Jun,Risaralda,7999137,68453601,7999,Jun 2015
401,2015,Jun,Tolima,3050755,35879635,3051,Jun 2015
402,2015,Mar,Antioquia,11751798,133896449,11752,Mar 2015
403,2015,Mar,Bogota,4237278,44258576,4237,Mar 2015
404,2015,Mar,Caldas,6822497,88092094,6822,Mar 2015
405,2015,Mar,Quindio,6776048,70376541,6776,Mar 2015
406,2015,Mar,Risaralda,6390750,59700409,6391,Mar 2015
407,2015,Mar,Tolima,3118985,34624019,3119,Mar 2015
408,2015,May,Antioquia,9763717,100647450,9764,May 2015
409,2015,May,Bogota,4083964,37967853,4084,May 2015
410,2015,May,Caldas,7938511,92773963,7939,May 2015
411,2015,May,Quindio,6634130,57275126,6634,May 2015
412,2015,May,Risaralda,10013856,84267920,10014,May 2015
413,2015,May,Tolima,1992843,21278299,1993,May 2015
414,2015,Nov,Antioquia,9464553,117405620,9465,Nov 2015
415,2015,Nov,Bogota,3160970,29217932,3161,Nov 2015
416,2015,Nov,Caldas,9360169,107103527,9360,Nov 2015
417,2015,Nov,Quindio,6085098,57752818,6085,Nov 2015
418,2015,Nov,Risaralda,11381928,101779656,11382,Nov 2015
419,2015,Nov,Tolima,2751508,30774872,2752,Nov 2015
420,2015,Oct,Antioquia,6629006,75353921,6629,Oct 2015
421,2015,Oct,Bogota,4360020,42907798,4360,Oct 2015
422,2015,Oct,Caldas,9114894,108966434,9115,Oct 2015
423,2015,Oct,Quindio,6096582,55408968,6097,Oct 2015
424,2015,Oct,Risaralda,7971419,72176502,7971,Oct 2015
425,2015,Oct,Tolima,2450391,32878967,2450,Oct 2015
426,2015,Sep,Antioquia,11902044,136290305,11902,Sep 2015
427,2015,Sep,Bogota,3625584,35970245,3626,Sep 2015
428,2015,Sep,Caldas,11816628,148124565,11817,Sep 2015
